# Currier A/B Classifications from EVA Transcription
# Total folios: 169
# Language A: 101 folios
# Language B: 68 folios

Folio	Language	Hand	Section
f1r	A	1	herbal
f1v	A	1	herbal
f2r	A	1	herbal
f2v	A	1	herbal
f3r	A	1	herbal
f3v	A	1	herbal
f4r	A	1	herbal
f4v	A	1	herbal
f5r	A	1	herbal
f5v	A	1	herbal
f6r	A	1	herbal
f6v	A	1	herbal
f7r	A	1	herbal
f7v	A	1	herbal
f8r	A	1	herbal
f8v	A	1	herbal
f9r	A	1	herbal
f9v	A	1	herbal
f10r	A	1	herbal
f10v	A	1	herbal
f11r	A	1	herbal
f11v	A	1	herbal
f13r	A	1	herbal
f13v	A	1	herbal
f14r	A	1	herbal
f14v	A	1	herbal
f15r	A	1	herbal
f15v	A	1	herbal
f16r	A	1	herbal
f16v	A	1	herbal
f17r	A	1	herbal
f17v	A	1	herbal
f18r	A	1	herbal
f18v	A	1	herbal
f19r	A	1	herbal
f19v	A	1	herbal
f20r	A	1	herbal
f20v	A	1	herbal
f21r	A	1	herbal
f21v	A	1	herbal
f22r	A	1	herbal
f22v	A	1	herbal
f23r	A	1	herbal
f23v	A	1	herbal
f24r	A	1	herbal
f24v	A	1	herbal
f25r	A	1	herbal
f25v	A	1	herbal
f26r	B	2	herbal
f26v	B	2	herbal
f27r	A	1	herbal
f27v	A	1	herbal
f28r	A	1	herbal
f28v	A	1	herbal
f29r	A	1	herbal
f29v	A	1	herbal
f30r	A	1	herbal
f30v	A	1	herbal
f31r	B	2	herbal
f31v	B	2	herbal
f32r	A	1	herbal
f32v	A	1	herbal
f33r	B	2	herbal
f33v	B	2	herbal
f34r	B	2	herbal
f34v	B	2	herbal
f35r	A	1	herbal
f35v	A	1	herbal
f36r	A	1	herbal
f36v	A	1	herbal
f37r	A	1	herbal
f37v	A	1	herbal
f38r	A	1	herbal
f38v	A	1	herbal
f39r	B	2	herbal
f39v	B	2	herbal
f40r	B	2	herbal
f40v	B	2	herbal
f41r	B	2	herbal
f41v	B	2	herbal
f42r	A	1	herbal
f42v	A	1	herbal
f43r	B	2	herbal
f43v	B	2	herbal
f44r	A	1	herbal
f44v	A	1	herbal
f45r	A	1	herbal
f45v	A	1	herbal
f46r	B	2	herbal
f46v	B	2	herbal
f47r	A	1	herbal
f47v	A	1	herbal
f48r	B	2	herbal
f48v	B	2	herbal
f49r	A	1	herbal
f49v	A	1	herbal
f50r	B	2	herbal
f50v	B	2	herbal
f51r	A	1	herbal
f51v	A	1	herbal
f52r	A	1	herbal
f52v	A	1	herbal
f53r	A	1	herbal
f53v	A	1	herbal
f54r	A	1	herbal
f54v	A	1	herbal
f55r	B	2	herbal
f55v	B	2	herbal
f56r	A	1	herbal
f56v	A	1	herbal
f57r	B	2	herbal
f57v	B	2	herbal
f58r	A	?	herbal
f58v	A	?	herbal
f66r	B	?	herbal
f66v	B	?	herbal
f75r	B	2	biological
f75v	B	2	biological
f76r	B	2	biological
f76v	B	2	biological
f77r	B	2	biological
f78r	B	2	biological
f78v	B	2	biological
f79v	B	2	biological
f80r	B	?	biological
f80v	B	2	biological
f81v	B	2	biological
f82r	B	2	biological
f82v	B	2	biological
f84r	B	2	biological
f84v	B	3	biological
f87r	A	4	pharmaceutical
f87v	A	4	pharmaceutical
f88v	A	?	pharmaceutical
f93r	A	4	pharmaceutical
f93v	A	4	pharmaceutical
f94r	B	5	pharmaceutical
f94v	B	5	pharmaceutical
f96r	A	4	pharmaceutical
f96v	A	4	pharmaceutical
f99r	A	4	pharmaceutical
f99v	A	4	pharmaceutical
f100r	A	4	pharmaceutical
f100v	A	4	pharmaceutical
f101r	A	4	pharmaceutical
f101v	A	?	pharmaceutical
f103r	B	?	pharmaceutical
f103v	B	?	pharmaceutical
f104r	B	?	pharmaceutical
f104v	B	?	pharmaceutical
f105r	B	?	pharmaceutical
f105v	B	?	pharmaceutical
f106r	B	?	pharmaceutical
f106v	B	?	pharmaceutical
f107r	B	?	pharmaceutical
f107v	B	?	pharmaceutical
f108r	B	?	pharmaceutical
f108v	B	?	pharmaceutical
f111r	B	?	pharmaceutical
f111v	B	?	pharmaceutical
f112r	B	?	pharmaceutical
f112v	B	?	pharmaceutical
f113r	B	?	pharmaceutical
f113v	B	?	pharmaceutical
f114r	B	?	pharmaceutical
f114v	B	?	pharmaceutical
f115r	B	?	pharmaceutical
f115v	B	?	pharmaceutical
f116r	B	?	pharmaceutical
