MIDDLE ENGLISH MEDICAL VOCABULARY DATABASE
======================================================================

Total terms: 29107


HERBS:
----------------------------------------------------------------------
serue                        2,215 occurrences (partial_match)
left                         2,207 occurrences (partial_match)
lefte                        1,863 occurrences (partial_match)
sorwe                        1,676 occurrences (partial_match)
worthy                       1,407 occurrences (partial_match)
worthi                       1,327 occurrences (partial_match)
sede                         1,140 occurrences
worth                          890 occurrences (partial_match)
seed                           839 occurrences
morwe                          803 occurrences (partial_match)
leaf                           760 occurrences
rote                           755 occurrences
flour                          707 occurrences
serued                         658 occurrences (partial_match)
passage                        594 occurrences (partial_match)
true                           543 occurrences (partial_match)
message                        531 occurrences (partial_match)
lefe                           496 occurrences (partial_match)
cruel                          496 occurrences (partial_match)
wrote                          469 occurrences (partial_match)
visage                         446 occurrences (partial_match)
lef                            440 occurrences
messager                       404 occurrences (partial_match)
wroot                          382 occurrences (partial_match)
floure                         355 occurrences
roote                          352 occurrences
leef                           343 occurrences
messagers                      334 occurrences (partial_match)
floures                        334 occurrences (partial_match)
worthe                         298 occurrences (partial_match)
wrooth                         287 occurrences (partial_match)
causede                        274 occurrences (partial_match)
seruen                         260 occurrences (partial_match)
vsage                          252 occurrences (partial_match)
herbes                         247 occurrences (partial_match)
orwe                           245 occurrences (partial_match)
passede                        221 occurrences (partial_match)
serwe                          221 occurrences (partial_match)
therbi                         211 occurrences (partial_match)
throte                         203 occurrences (partial_match)
therby                         187 occurrences (partial_match)
seruede                        185 occurrences (partial_match)
deserued                       185 occurrences (partial_match)
feruent                        174 occurrences (partial_match)
leeful                         173 occurrences (partial_match)
wherby                         170 occurrences (partial_match)
vysage                         165 occurrences (partial_match)
usede                          165 occurrences (partial_match)
cruelte                        163 occurrences (partial_match)
leften                         162 occurrences (partial_match)
sage                           152 occurrences
borwe                          147 occurrences (partial_match)
cursede                        147 occurrences (partial_match)
roten                          145 occurrences (partial_match)
sorweful                       141 occurrences (partial_match)
arwes                          140 occurrences (partial_match)
blessede                       138 occurrences (partial_match)
herbe                          135 occurrences
arwe                           132 occurrences (partial_match)
passages                       129 occurrences (partial_match)
sedechie                       127 occurrences (partial_match)
stalworth                      125 occurrences (partial_match)
sterue                         125 occurrences (partial_match)
valerian                       125 occurrences
lefft                          124 occurrences (partial_match)
heruest                        124 occurrences (partial_match)
cruell                         115 occurrences (partial_match)
worthynesse                    111 occurrences (partial_match)
merueylle                      108 occurrences (partial_match)
serueden                       106 occurrences (partial_match)
herbi                          105 occurrences (partial_match)
deserue                        104 occurrences (partial_match)
purueaunce                      95 occurrences (partial_match)
vsede                           92 occurrences (partial_match)
blissede                        92 occurrences (partial_match)
amorwe                          91 occurrences (partial_match)
lefde                           87 occurrences (partial_match)
serueth                         85 occurrences (partial_match)
vnleeful                        85 occurrences (partial_match)
expulsede                       82 occurrences (partial_match)
rotes                           81 occurrences (partial_match)
vnworthy                        81 occurrences (partial_match)
sorwes                          80 occurrences (partial_match)
lefenn                          80 occurrences (partial_match)
spousede                        79 occurrences (partial_match)
wort                            79 occurrences
worthily                        78 occurrences (partial_match)
flouris                         78 occurrences (partial_match)
rootis                          76 occurrences (partial_match)
chasede                         74 occurrences (partial_match)
cruelly                         72 occurrences (partial_match)
protection                      71 occurrences (partial_match)
leful                           71 occurrences (partial_match)
stalworthe                      70 occurrences (partial_match)
arueragus                       70 occurrences (partial_match)
narwe                           69 occurrences (partial_match)
kerue                           69 occurrences (partial_match)
clef                            68 occurrences (partial_match)
morwen                          68 occurrences (partial_match)
herbert                         68 occurrences (partial_match)
purueyed                        67 occurrences (partial_match)
usage                           66 occurrences (partial_match)
herber                          66 occurrences (partial_match)
lefdi                           65 occurrences (partial_match)
rehersede                       65 occurrences (partial_match)
herbis                          64 occurrences (partial_match)
worthynes                       63 occurrences (partial_match)
massage                         62 occurrences (partial_match)
vnworthi                        62 occurrences (partial_match)
despurueu                       62 occurrences (partial_match)
wortes                          60 occurrences (partial_match)
bilefde                         60 occurrences (partial_match)
truely                          59 occurrences (partial_match)
worthiest                       59 occurrences (partial_match)
purueye                         58 occurrences (partial_match)
blyssede                        58 occurrences (partial_match)
expressede                      58 occurrences (partial_match)
cruelle                         57 occurrences (partial_match)
gileful                         57 occurrences (partial_match)
seede                           56 occurrences (partial_match)
herby                           56 occurrences (partial_match)
merueylled                      56 occurrences (partial_match)
merueyllous                     55 occurrences (partial_match)
refusede                        54 occurrences (partial_match)
worthier                        53 occurrences (partial_match)
usages                          53 occurrences (partial_match)
merueillous                     52 occurrences (partial_match)
merueilis                       52 occurrences (partial_match)
messagere                       52 occurrences (partial_match)
wherbi                          51 occurrences (partial_match)
borwes                          51 occurrences (partial_match)
destruede                       51 occurrences (partial_match)
passeden                        50 occurrences (partial_match)
puruey                          50 occurrences (partial_match)
dereworthe                      50 occurrences (partial_match)
tomorwe                         49 occurrences (partial_match)
melchisedech                    48 occurrences (partial_match)
merueyle                        48 occurrences (partial_match)
trwe                            47 occurrences (partial_match)
leffte                          47 occurrences (partial_match)
herberwe                        47 occurrences (partial_match)
supposede                       47 occurrences (partial_match)
reserued                        46 occurrences (partial_match)
merueille                       46 occurrences (partial_match)
proteccion                      45 occurrences (partial_match)
root                            45 occurrences
accusede                        45 occurrences (partial_match)
meruell                         45 occurrences (partial_match)
merueilous                      44 occurrences (partial_match)
despisede                       44 occurrences (partial_match)
closede                         44 occurrences (partial_match)
sedes                           43 occurrences (partial_match)
herbergage                      43 occurrences (partial_match)
worthely                        43 occurrences (partial_match)
serues                          43 occurrences (partial_match)
coruen                          42 occurrences (partial_match)
lefull                          42 occurrences (partial_match)
merueyllously                   40 occurrences (partial_match)
disserued                       39 occurrences (partial_match)
preserue                        39 occurrences (partial_match)
worte                           39 occurrences
josedech                        39 occurrences (partial_match)
compassede                      39 occurrences (partial_match)
grues                           39 occurrences (partial_match)
seedis                          38 occurrences (partial_match)
messageres                      38 occurrences (partial_match)
merueyles                       37 occurrences (partial_match)
worthinesse                     37 occurrences (partial_match)
forrwerrpenn                    37 occurrences (partial_match)
frote                           37 occurrences (partial_match)
destrued                        37 occurrences (partial_match)
encreasede                      37 occurrences (partial_match)
obserue                         36 occurrences (partial_match)
corsede                         36 occurrences (partial_match)
grote                           36 occurrences (partial_match)
nerues                          36 occurrences (partial_match)
messageris                      35 occurrences (partial_match)
purueide                        35 occurrences (partial_match)
ebrues                          35 occurrences (partial_match)
leafdi                          35 occurrences (partial_match)
worthie                         34 occurrences (partial_match)
merueile                        34 occurrences (partial_match)
vesage                          34 occurrences (partial_match)
protector                       33 occurrences (partial_match)
proteccioun                     33 occurrences (partial_match)
merueils                        33 occurrences (partial_match)
oppressede                      32 occurrences (partial_match)
relefis                         32 occurrences (partial_match)
deposede                        32 occurrences (partial_match)
comynte                         31 occurrences (partial_match)
conserue                        31 occurrences (partial_match)
sedechias                       31 occurrences (partial_match)
baptisede                       31 occurrences (partial_match)
bileft                          30 occurrences (partial_match)
protectour                      30 occurrences (partial_match)
vnleful                         30 occurrences (partial_match)
purueance                       30 occurrences (partial_match)
obserued                        29 occurrences (partial_match)
feruently                       29 occurrences (partial_match)
farwel                          29 occurrences (partial_match)
flours                          29 occurrences (partial_match)
leffe                           29 occurrences (partial_match)
sauge                           29 occurrences
lefden                          29 occurrences (partial_match)
borwed                          29 occurrences (partial_match)
roted                           28 occurrences (partial_match)
worthines                       28 occurrences (partial_match)
disposede                       28 occurrences (partial_match)
rue                             28 occurrences
construe                        28 occurrences (partial_match)
chedworth                       28 occurrences (partial_match)
weleful                         27 occurrences (partial_match)
promisede                       27 occurrences (partial_match)
welefulnesse                    27 occurrences (partial_match)
herberowe                       26 occurrences (partial_match)
possede                         26 occurrences (partial_match)
crueltee                        26 occurrences (partial_match)
releef                          26 occurrences (partial_match)
leefful                         26 occurrences (partial_match)
lefful                          26 occurrences (partial_match)
conserued                       26 occurrences (partial_match)
seruest                         26 occurrences (partial_match)
worthili                        26 occurrences (partial_match)
cesede                          26 occurrences (partial_match)
erue                            26 occurrences (partial_match)
norweye                         26 occurrences (partial_match)
meruellous                      26 occurrences (partial_match)
leff                            25 occurrences (partial_match)
rootes                          25 occurrences (partial_match)
mint                            25 occurrences
worthyly                        24 occurrences (partial_match)
purueiance                      24 occurrences (partial_match)
grotes                          24 occurrences (partial_match)
protestacion                    24 occurrences (partial_match)
morue                           24 occurrences (partial_match)
meruelous                       24 occurrences (partial_match)
wroten                          24 occurrences (partial_match)
grue                            24 occurrences (partial_match)
herberowed                      24 occurrences (partial_match)
worton                          24 occurrences (partial_match)
visages                         23 occurrences (partial_match)
purueied                        23 occurrences (partial_match)
lefes                           23 occurrences (partial_match)
relef                           23 occurrences (partial_match)
sexburwe                        23 occurrences (partial_match)
forrwerrpe                      23 occurrences (partial_match)
messages                        23 occurrences (partial_match)
worthis                         23 occurrences (partial_match)
shillyngworth                   23 occurrences (partial_match)
herborwe                        22 occurrences (partial_match)
stalworthly                     22 occurrences (partial_match)
vseden                          22 occurrences (partial_match)
peruertid                       22 occurrences (partial_match)
seisede                         22 occurrences (partial_match)
crueel                          22 occurrences (partial_match)
cruelnesse                      22 occurrences (partial_match)
herbys                          21 occurrences (partial_match)
merueylous                      21 occurrences (partial_match)
worten                          21 occurrences (partial_match)
cruely                          21 occurrences (partial_match)
plesede                         21 occurrences (partial_match)
menstrue                        21 occurrences (partial_match)
erued                           21 occurrences (partial_match)
releff                          21 occurrences (partial_match)
merueyled                       20 occurrences (partial_match)
corue                           20 occurrences (partial_match)
yserued                         20 occurrences (partial_match)
herbore                         20 occurrences (partial_match)
sages                           20 occurrences (partial_match)
sorwen                          20 occurrences (partial_match)
morwetide                       20 occurrences (partial_match)
merueil                         20 occurrences (partial_match)
riseden                         20 occurrences (partial_match)
morwenynge                      20 occurrences (partial_match)
merueillously                   20 occurrences (partial_match)
doleful                         19 occurrences (partial_match)
unworthy                        19 occurrences (partial_match)
herberd                         19 occurrences (partial_match)
vsages                          19 occurrences (partial_match)
drue                            19 occurrences (partial_match)
welefare                        19 occurrences (partial_match)
disserue                        19 occurrences (partial_match)
steruen                         19 occurrences (partial_match)
herborid                        19 occurrences (partial_match)
keruer                          19 occurrences (partial_match)
destrue                         19 occurrences (partial_match)
petworth                        19 occurrences (partial_match)
lefdy                           19 occurrences (partial_match)
herbs                           19 occurrences (partial_match)
dispersede                      19 occurrences (partial_match)
confessede                      19 occurrences (partial_match)
massagers                       19 occurrences (partial_match)
massagere                       19 occurrences (partial_match)
uisage                          19 occurrences (partial_match)
clefe                           18 occurrences (partial_match)
sorwefully                      18 occurrences (partial_match)
cleef                           18 occurrences (partial_match)
protect                         18 occurrences (partial_match)
derue                           18 occurrences (partial_match)
norwey                          18 occurrences (partial_match)
kyssede                         18 occurrences (partial_match)
exercisede                      18 occurrences (partial_match)
pleasede                        18 occurrences (partial_match)
crue                            18 occurrences (partial_match)
herb                            17 occurrences
relefe                          17 occurrences (partial_match)
truest                          17 occurrences (partial_match)
purueyde                        17 occurrences (partial_match)
worthieste                      17 occurrences (partial_match)
wortis                          17 occurrences (partial_match)
heleful                         17 occurrences (partial_match)
gerueys                         17 occurrences (partial_match)
flourys                         17 occurrences (partial_match)
prue                            17 occurrences (partial_match)
promysede                       17 occurrences (partial_match)
purchasede                      17 occurrences (partial_match)
seasede                         17 occurrences (partial_match)
vnderueng                       17 occurrences (partial_match)
merueilled                      17 occurrences (partial_match)
comsede                         17 occurrences (partial_match)
morwespeche                     17 occurrences (partial_match)
reimwort                        16 occurrences (partial_match)
purueie                         16 occurrences (partial_match)
herbere                         16 occurrences (partial_match)
fflour                          16 occurrences (partial_match)
mynte                           16 occurrences
clensede                        16 occurrences (partial_match)
dispiseden                      16 occurrences (partial_match)
sparwe                          16 occurrences (partial_match)
ffarwel                         16 occurrences (partial_match)
destruet                        16 occurrences (partial_match)
clefte                          16 occurrences (partial_match)
lavender                        16 occurrences
cruellenesse                    16 occurrences (partial_match)
fflourdelys                     16 occurrences (partial_match)
destrueth                       16 occurrences (partial_match)
purueid                         15 occurrences (partial_match)
belefe                          15 occurrences (partial_match)
reserue                         15 occurrences (partial_match)
rootid                          15 occurrences (partial_match)
derworthe                       15 occurrences (partial_match)
sedem                           15 occurrences (partial_match)
deserueth                       15 occurrences (partial_match)
purueyd                         15 occurrences (partial_match)
deseruede                       15 occurrences (partial_match)
preisede                        15 occurrences (partial_match)
lefmon                          15 occurrences (partial_match)
excusede                        15 occurrences (partial_match)
fenel                           15 occurrences
mysbylefed                      15 occurrences (partial_match)
walwort                         15 occurrences (partial_match)
bruette                         15 occurrences (partial_match)
merueiles                       14 occurrences (partial_match)
rwe                             14 occurrences
brotel                          14 occurrences (partial_match)
flowers                         14 occurrences (partial_match)
derworth                        14 occurrences (partial_match)
encresede                       14 occurrences (partial_match)
massager                        14 occurrences (partial_match)
pressede                        14 occurrences (partial_match)
morwetid                        14 occurrences (partial_match)
vnworthily                      14 occurrences (partial_match)
gilefuli                        14 occurrences (partial_match)
storuen                         14 occurrences (partial_match)
belefte                         14 occurrences (partial_match)
merueilles                      14 occurrences (partial_match)
shillyngworthe                  14 occurrences (partial_match)
fullefillede                    14 occurrences (partial_match)
merueylles                      14 occurrences (partial_match)
worthly                         13 occurrences (partial_match)
peruerse                        13 occurrences (partial_match)
lefulle                         13 occurrences (partial_match)
skileful                        13 occurrences (partial_match)
morwenyng                       13 occurrences (partial_match)
ebrue                           13 occurrences (partial_match)
witnessede                      13 occurrences (partial_match)
merueilouse                     13 occurrences (partial_match)
flower                          13 occurrences
purueyaunce                     13 occurrences (partial_match)
resede                          13 occurrences (partial_match)
cruelnes                        13 occurrences (partial_match)
merueyll                        13 occurrences (partial_match)
leefulnes                       13 occurrences (partial_match)
trues                           13 occurrences (partial_match)
bilefd                          13 occurrences (partial_match)
amansede                        13 occurrences (partial_match)
wortley                         13 occurrences (partial_match)
merueylously                    12 occurrences (partial_match)
throtes                         12 occurrences (partial_match)
pruesse                         12 occurrences (partial_match)
cleft                           12 occurrences (partial_match)
seruez                          12 occurrences (partial_match)
seden                           12 occurrences (partial_match)
flourish                        12 occurrences (partial_match)
pleseden                        12 occurrences (partial_match)
preiseden                       12 occurrences (partial_match)
vntrue                          12 occurrences (partial_match)
leftist                         12 occurrences (partial_match)
seedes                          12 occurrences (partial_match)
seruedist                       12 occurrences (partial_match)
purposede                       12 occurrences (partial_match)
floured                         12 occurrences (partial_match)
lefthalf                        12 occurrences (partial_match)
meruels                         12 occurrences (partial_match)
feruentli                       12 occurrences (partial_match)
seruet                          12 occurrences (partial_match)
cursedenesse                    12 occurrences (partial_match)
sesede                          12 occurrences (partial_match)
herborwed                       12 occurrences (partial_match)
worthyest                       12 occurrences (partial_match)
wissede                         12 occurrences (partial_match)
rotede                          12 occurrences (partial_match)
fullefille                      12 occurrences (partial_match)
decreasede                      12 occurrences (partial_match)
elburwe                         12 occurrences (partial_match)
ruele                           12 occurrences (partial_match)
heruey                          12 occurrences (partial_match)
presedent                       11 occurrences (partial_match)
herbery                         11 occurrences (partial_match)
preserued                       11 occurrences (partial_match)
willeful                        11 occurrences (partial_match)
purueyance                      11 occurrences (partial_match)
merueyls                        11 occurrences (partial_match)
vnworthili                      11 occurrences (partial_match)
reseruede                       11 occurrences (partial_match)
losede                          11 occurrences (partial_match)
koruen                          11 occurrences (partial_match)
leafe                           11 occurrences (partial_match)
cessede                         11 occurrences (partial_match)
falsede                         11 occurrences (partial_match)
worthye                         11 occurrences (partial_match)
protendede                      11 occurrences (partial_match)
confusede                       11 occurrences (partial_match)
merueiled                       11 occurrences (partial_match)
bylefe                          11 occurrences (partial_match)
masager                         11 occurrences (partial_match)
serwes                          11 occurrences (partial_match)
